Mag3,Mag2,Mag1,time,Acc1,Acc3,Acc2
-17.596435546875,13.653564453125,-14.32647705078125,2014-08-08 06:49:36 +0200,0.1024322509765625,9.654830932617188,0.4935302734375
-17.596435546875,13.653564453125,-14.32647705078125,2014-08-08 06:49:38 +0200,0.1024322509765625,9.654830932617188,0.4935302734375
-17.596435546875,13.653564453125,-14.32647705078125,2014-08-08 06:49:40 +0200,0.1024322509765625,9.654830932617188,0.4935302734375
-17.596435546875,13.653564453125,-14.32647705078125,2014-08-08 06:49:43 +0200,0.1024322509765625,9.654830932617188,0.4935302734375
-17.596435546875,13.653564453125,-14.32647705078125,2014-08-08 06:49:45 +0200,0.1024322509765625,9.654830932617188,0.4935302734375
-17.596435546875,13.653564453125,-14.32647705078125,2014-08-08 06:49:47 +0200,0.1024322509765625,9.654830932617188,0.4935302734375
-33.2794189453125,16.21856689453125,-23.57177734375,2014-08-08 06:49:48 +0200,0.21246337890625,9.617279052734375,0.644439697265625
-27.81524658203125,13.08746337890625,-27.4566650390625,2014-08-08 06:49:49 +0200,0.2353973388671875,9.695297241210938,0.5885772705078125
-28.54156494140625,22.4945068359375,-36.87744140625,2014-08-08 06:49:50 +0200,0.1947021484375,9.5244140625,0.9637908935546875
-34.8236083984375,19.17266845703125,-33.04443359375,2014-08-08 06:49:51 +0200,0.326385498046875,9.5596923828125,0.90472412109375
-29.779052734375,10.2447509765625,-23.42987060546875,2014-08-08 06:49:52 +0200,0.2682342529296875,9.66363525390625,0.9885406494140625
-30.45196533203125,15.05279541015625,-27.89459228515625,2014-08-08 06:49:53 +0200,-0.0355682373046875,9.474838256835938,0.62774658203125
-36.8408203125,13.336181640625,-19.30999755859375,2014-08-08 06:49:54 +0200,-0.06591796875,9.586334228515625,0.45684814453125
-31.964111328125,8.35723876953125,-14.3310546875,2014-08-08 06:49:55 +0200,0.036590576171875,9.615371704101562,0.45733642578125
-32.13348388671875,14.36614990234375,-22.74322509765625,2014-08-08 06:49:56 +0200,0.1803436279296875,9.690826416015625,0.4832305908203125
-36.6729736328125,10.41717529296875,-16.73431396484375,2014-08-08 06:49:57 +0200,0.075897216796875,9.458419799804688,0.430419921875
-27.79541015625,13.0645751953125,-16.56341552734375,2014-08-08 06:49:58 +0200,-0.0778350830078125,9.603561401367188,0.534271240234375
-27.1759033203125,15.22064208984375,-22.91259765625,2014-08-08 06:49:59 +0200,0.141571044921875,9.525588989257812,0.513153076171875
-26.38092041015625,8.563232421875,-13.714599609375,2014-08-08 06:50:00 +0200,0.0804443359375,9.466766357421875,0.5557403564453125
-29.62646484375,19.4488525390625,-26.76544189453125,2014-08-08 06:50:01 +0200,0.303680419921875,9.434860229492188,0.30841064453125
-30.94329833984375,12.7410888671875,-20.93505859375,2014-08-08 06:50:02 +0200,0.247711181640625,9.703079223632812,0.34747314453125
