Plug,BatteryStatus,Communication,Lon,AppVersion,time,Lat,BatteryLevel
0,3,1,2.2097591,1.1,2014-08-08 09:24:22 +0200,41.4242772,75
0,3,1,2.2097591,1.1,2014-08-08 09:25:42 +0200,41.4242772,75
0,3,1,2.2097591,1.1,2014-08-08 09:26:48 +0200,41.4242772,75
0,3,1,2.2097591,1.1,2014-08-08 09:27:41 +0200,41.4242772,75
0,3,1,2.2097591,1.1,2014-08-08 09:28:43 +0200,41.4242772,75
0,3,1,2.2097591,1.1,2014-08-08 09:29:27 +0200,41.4242772,75
0,3,1,2.2097591,1.1,2014-08-08 09:29:57 +0200,41.4242772,75
0,3,1,2.2097591,1.1,2014-08-08 09:30:27 +0200,41.4242772,75
0,3,1,2.2097591,1.1,2014-08-08 09:30:57 +0200,41.4242772,74
0,3,1,2.1593006,1.1,2014-08-08 09:31:27 +0200,41.3823218,74
0,3,1,2.1375204,1.1,2014-08-08 09:31:57 +0200,41.3707523,74
0,3,1,2.1157402,1.1,2014-08-08 09:32:37 +0200,41.3591828,74
0,3,1,2.1157402,1.1,2014-08-08 09:33:07 +0200,41.3591828,74
0,3,1,2.1120517,1.1,2014-08-08 09:33:37 +0200,41.3590493,74
